Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline
1998,2,4,2,4,1998-04-02,AS,19930,AS
2013,2,5,13,1,2013-05-13,EV,20366,EV
1993,3,9,25,6,1993-09-25,UA,19977,UA
1994,4,11,12,6,1994-11-12,HP,19991,HP
2017,3,8,17,4,2017-08-17,UA,19977,UA
2014,2,4,2,3,2014-04-02,AA,19805,AA
2011,3,8,15,1,2011-08-15,WN,19393,WN
2019,1,1,6,7,2019-01-06,EV,20366,EV
2002,1,1,25,5,2002-01-25,AA,19805,AA
2005,3,8,1,1,2005-08-01,AA,19805,AA
2000,4,12,17,7,2000-12-17,UA,19977,UA
2005,3,7,5,2,2005-07-05,WN,19393,WN
2019,2,6,21,5,2019-06-21,AA,19805,AA
2013,4,10,11,5,2013-10-11,EV,20366,EV
2011,4,11,22,2,2011-11-22,XE,20374,XE
1992,4,11,23,1,1992-11-23,HP,19991,HP
1988,1,2,27,6,1988-02-27,UA,19977,UA
2015,4,10,28,3,2015-10-28,OO,20304,OO
2003,1,1,2,4,2003-01-02,NW,19386,NW
2008,2,5,5,1,2008-05-05,WN,19393,WN
1997,4,12,3,3,1997-12-03,US,20355,US
1997,4,10,9,4,1997-10-09,NW,19386,NW
2013,4,12,21,6,2013-12-21,HA,19690,HA
2019,1,3,9,6,2019-03-09,UA,19977,UA
1996,1,3,24,7,1996-03-24,AA,19805,AA
2005,3,9,29,4,2005-09-29,WN,19393,WN
1989,3,7,25,2,1989-07-25,DL,19790,DL
2006,4,12,18,1,2006-12-18,AA,19805,AA
1988,4,10,21,5,1988-10-21,NW,19386,NW
2019,4,10,29,2,2019-10-29,DL,19790,DL
2003,2,6,18,3,2003-06-18,WN,19393,WN
2007,4,10,13,6,2007-10-13,OH,20417,OH
2003,1,1,24,5,2003-01-24,DH,20404,DH
2003,4,10,13,1,2003-10-13,AA,19805,AA
2013,2,5,27,1,2013-05-27,F9,20436,F9
2011,2,6,23,4,2011-06-23,DL,19790,DL
2012,3,9,20,4,2012-09-20,UA,19977,UA
2013,3,7,6,6,2013-07-06,OO,20304,OO
2010,3,8,22,7,2010-08-22,DL,19790,DL
1998,1,3,1,7,1998-03-01,AA,19805,AA
1996,2,5,7,2,1996-05-07,DL,19790,DL
1989,1,2,3,5,1989-02-03,AA,19805,AA
1990,3,7,6,5,1990-07-06,US,20355,US
1994,4,10,9,7,1994-10-09,CO,19704,CO
2007,2,4,17,2,2007-04-17,FL,20437,FL
2007,2,5,19,6,2007-05-19,XE,20374,XE
1994,4,10,28,5,1994-10-28,NW,19386,NW
1995,4,11,25,6,1995-11-25,AA,19805,AA
1992,2,5,28,4,1992-05-28,TW,20211,TW
1996,2,6,25,2,1996-06-25,AS,19930,AS
2008,3,8,2,6,2008-08-02,AA,19805,AA
2006,1,2,28,2,2006-02-28,YV,20378,YV
2010,3,8,31,2,2010-08-31,AA,19805,AA
2014,4,11,22,6,2014-11-22,DL,19790,DL
2016,3,7,21,4,2016-07-21,WN,19393,WN
1996,1,3,26,2,1996-03-26,UA,19977,UA
2013,1,2,1,5,2013-02-01,WN,19393,WN
2017,1,2,25,6,2017-02-25,AA,19805,AA
2003,4,11,3,1,2003-11-03,CO,19704,CO
1990,3,9,11,2,1990-09-11,US,20355,US
2017,4,11,11,6,2017-11-11,OO,20304,OO
2001,4,10,8,1,2001-10-08,CO,19704,CO
1992,4,12,29,2,1992-12-29,AA,19805,AA
1995,3,9,8,5,1995-09-08,WN,19393,WN
2009,4,11,1,7,2009-11-01,EV,20366,EV
2011,1,1,6,4,2011-01-06,DL,19790,DL
2010,1,2,16,2,2010-02-16,WN,19393,WN
2014,4,10,27,1,2014-10-27,UA,19977,UA
1998,2,4,9,4,1998-04-09,DL,19790,DL
1999,4,12,2,4,1999-12-02,US,20355,US
2010,3,7,28,3,2010-07-28,B6,20409,B6
2008,2,4,15,2,2008-04-15,OH,20417,OH
1998,4,12,2,3,1998-12-02,CO,19704,CO
1994,3,7,16,6,1994-07-16,AA,19805,AA
2005,2,4,23,6,2005-04-23,US,20355,US
2007,1,2,28,3,2007-02-28,AA,19805,AA
2010,1,3,15,1,2010-03-15,EV,20366,EV
2018,4,12,3,1,2018-12-03,AA,19805,AA
2017,3,9,9,6,2017-09-09,DL,19790,DL
1998,1,2,7,6,1998-02-07,WN,19393,WN
2014,2,5,12,1,2014-05-12,WN,19393,WN
2001,1,1,13,6,2001-01-13,AS,19930,AS
2016,4,11,27,7,2016-11-27,WN,19393,WN
2014,3,7,25,5,2014-07-25,WN,19393,WN
1991,2,6,10,1,1991-06-10,UA,19977,UA
2017,1,1,7,6,2017-01-07,WN,19393,WN
1993,1,3,5,5,1993-03-05,AA,19805,AA
1995,2,6,8,4,1995-06-08,DL,19790,DL
2017,2,4,2,7,2017-04-02,WN,19393,WN
1990,3,7,30,1,1990-07-30,EA,19707,EA
2009,4,12,11,5,2009-12-11,AA,19805,AA
1992,2,6,1,1,1992-06-01,US,20355,US
2004,2,5,26,3,2004-05-26,DL,19790,DL
1990,2,6,14,4,1990-06-14,UA,19977,UA
2010,4,11,26,5,2010-11-26,FL,20437,FL
2016,4,10,7,5,2016-10-07,AA,19805,AA
2005,4,11,8,2,2005-11-08,NW,19386,NW
1995,4,11,22,3,1995-11-22,US,20355,US
1988,1,2,22,1,1988-02-22,WN,19393,WN
